BBWD,Black-bellied Whistling-Duck
EHOO,Eurasian Hoopoe
RIKI,Ringed Kingfisher
BEKI,Belted Kingfisher
AMKI,Amazon Kingfisher
GKIN,Green Kingfisher
EUWR,Eurasian Wryneck
LEWO,Lewis's Woodpecker
RHWO,Red-headed Woodpecker
ACWO,Acorn Woodpecker
GIWO,Gila Woodpecker
GFWO,Golden-fronted Woodpecker
RBWO,Red-bellied Woodpecker
WISA,Williamson's Sapsucker
YBSA,Yellow-bellied Sapsucker
RNSA,Red-naped Sapsucker
RBSA,Red-breasted Sapsucker
ATTW,American Three-toed Woodpecker
BBWO,Black-backed Woodpecker
GSWO,Great Spotted Woodpecker
DOWO,Downy Woodpecker
NUWO,Nuttall's Woodpecker
LBWO,Ladder-backed Woodpecker
RCWO,Red-cockaded Woodpecker
HAWO,Hairy Woodpecker
WHWO,White-headed Woodpecker
ARWO,Arizona Woodpecker
NOFL,Northern Flicker
GIFL,Gilded Flicker
PIWO,Pileated Woodpecker
IBWO,Ivory-billed Woodpecker
COFF,Collared Forest-Falcon
CRCA,Crested Caracara
EUKE,Eurasian Kestrel
AMKE,American Kestrel
RFFA,Red-footed Falcon
MERL,Merlin
EHOB,Eurasian Hobby
APFA,Aplomado Falcon
BAFA,Bat Falcon
GYRF,Gyrfalcon
PEFA,Peregrine Falcon
PRFA,Prairie Falcon
MOPA,Monk Parakeet
CAPA,Carolina Parakeet
NAPA,Nanday Parakeet
GREP,Green Parakeet
MIPA,Mitred Parakeet
RMPA,Red-masked Parakeet
TBPA,Thick-billed Parrot
WWPA,White-winged Parakeet
YCPA,Yellow-chevroned Parakeet
RCPA,Red-crowned Parrot
LCPA,Lilac-crowned Parrot
RRPA,Rose-ringed Parakeet
RFLO,Rosy-faced Lovebird
MATI,Masked Tityra
GCBE,Gray-collared Becard
RTBE,Rose-throated Becard
NOBT,Northern Beardless-Tyrannulet
GREL,Greenish Elaenia
SBEL,Small-billed Elaenia
WCEL,White-crested Elaenia
DCFL,Dusky-capped Flycatcher
ATFL,Ash-throated Flycatcher
NUFL,Nutting's Flycatcher
GCFL,Great Crested Flycatcher
BCFL,Brown-crested Flycatcher
LSFL,La Sagra's Flycatcher
GKIS,Great Kiskadee
SOFL,Social Flycatcher
SBFL,Sulphur-bellied Flycatcher
PIRF,Piratic Flycatcher
VAFL,Variegated Flycatcher
CSFL,Crowned Slaty Flycatcher
TRKI,Tropical Kingbird
COKI,Couch's Kingbird
CAKI,Cassin's Kingbird
TBKI,Thick-billed Kingbird
WEKI,Western Kingbird
EAKI,Eastern Kingbird
GRAK,Gray Kingbird
LOKI,Loggerhead Kingbird
STFL,Scissor-tailed Flycatcher
FTFL,Fork-tailed Flycatcher
TUFL,Tufted Flycatcher
OSFL,Olive-sided Flycatcher
GRPE,Greater Pewee
WEWP,Western Wood-Pewee
EAWP,Eastern Wood-Pewee
CUPE,Cuban Pewee
YBFL,Yellow-bellied Flycatcher
ACFL,Acadian Flycatcher
ALFL,Alder Flycatcher
WIFL,Willow Flycatcher
LEFL,Least Flycatcher
HAFL,Hammond's Flycatcher
GRFL,Gray Flycatcher
DUFL,Dusky Flycatcher
PINF,Pine Flycatcher
WEFL,Western Flycatcher
BBFL,Buff-breasted Flycatcher
BLPH,Black Phoebe
EAPH,Eastern Phoebe
SAPH,Say's Phoebe
VEFL,Vermilion Flycatcher
BCVI,Black-capped Vireo
WEVI,White-eyed Vireo
TBVI,Thick-billed Vireo
CUVI,Cuban Vireo
BEVI,Bell's Vireo
GRVI,Gray Vireo
HUVI,Hutton's Vireo
YTVI,Yellow-throated Vireo
CAVI,Cassin's Vireo
BHVI,Blue-headed Vireo
PLVI,Plumbeous Vireo
PHVI,Philadelphia Vireo
WAVI,Warbling Vireo
REVI,Red-eyed Vireo
YGVI,Yellow-green Vireo
BWVI,Black-whiskered Vireo
YUVI,Yucatan Vireo
KAEL,Kauai Elepaio
OAEL,Oahu Elepaio
HAEL,Hawaii Elepaio
BROS,Brown Shrike
RBSH,Red-backed Shrike
LOSH,Loggerhead Shrike
NSHR,Northern Shrike
CAJA,Canada Jay
BRJA,Brown Jay
GRJA,Green Jay
PIJA,Pinyon Jay
STJA,Steller's Jay
BLJA,Blue Jay
FLSJ,Florida Scrub-Jay
ISSJ,Island Scrub-Jay
CASJ,California Scrub-Jay
WOSJ,Woodhouse's Scrub-Jay
MEJA,Mexican Jay
CLNU,Clark's Nutcracker
BBMA,Black-billed Magpie
YBMA,Yellow-billed Magpie
EUJA,Eurasian Jackdaw
AMCR,American Crow
TACR,Tamaulipas Crow
FICR,Fish Crow
HCRO,Hawaiian Crow
CHRA,Chihuahuan Raven
CORA,Common Raven
VERD,Verdin
CACH,Carolina Chickadee
BCCH,Black-capped Chickadee
MOCH,Mountain Chickadee
MECH,Mexican Chickadee
CBCH,Chestnut-backed Chickadee
BOCH,Boreal Chickadee
GHCH,Gray-headed Chickadee
BRTI,Bridled Titmouse
OATI,Oak Titmouse
JUTI,Juniper Titmouse
TUTI,Tufted Titmouse
BCTI,Black-crested Titmouse
EUSK,Eurasian Skylark
HOLA,Horned Lark
TBWA ,Thick-billed Warbler
ICWA,Icterine Warbler
MILL,Millerbird
SEWA,Sedge Warbler
BREW,Blyth's Reed Warbler
MGRW,Middendorff's Grasshopper Warbler
PGWA,Pallas's Grasshopper Warbler
LANW,Lanceolated Warbler
RIWA ,River Warbler
BANS,Bank Swallow
TRES,Tree Swallow
BAHS,Bahama Swallow
VGSW,Violet-green Swallow
MANS,Mangrove Swallow
BAWS,Blue-and-white Swallow
NRWS,Northern Rough-winged Swallow
BCMA,Brown-chested Martin
PUMA,Purple Martin
SOMA,Southern Martin
GYBM,Gray-breasted Martin
CUMA,Cuban Martin
BARS,Barn Swallow
COHM,Siberian House-Martin
CLSW,Cliff Swallow
CASW,Cave Swallow
BUSH,Bushtit
JABW,Japanese Bush Warbler (Bush-Warbler)
WILW,Willow Warbler
CCHI,Common Chiffchaff
WOWA,Wood Warbler
DUWA,Dusky Warbler
PLEW,Pallas's Leaf Warbler
YBWA,Yellow-browed Warbler
ARWA,Arctic Warbler
KLWA,Kamchatka Leaf Warbler
RVBU,Red-vented Bulbul
RWBU,Red-whiskered Bulbul
LEWH,Lesser Whitethroat
WREN,Wrentit
WAWE,Warbling White-eye
GNLA,Greater Necklaced Laughingthrush
HWAM,Chinese Hwamei (Hwamei)
RBLE,Red-billed Leiothrix
RCKI,Ruby-crowned Kinglet
GCKI,Golden-crowned Kinglet
BOWA,Bohemian Waxwing
CEDW,Cedar Waxwing
GRSF,Gray Silky-flycatcher
PHAI,Phainopepla
KAOO,Kauai Oo
OAOO,Oahu Oo
BIOO,Bishop's Oo
HAOO,Hawaii Oo
KIOE,Kioea
RBNU,Red-breasted Nuthatch
WBNU,White-breasted Nuthatch
PYNU,Pygmy Nuthatch
BHNU,Brown-headed Nuthatch
BRCR,Brown Creeper
BGGN,Blue-gray Gnatcatcher
BTGN,Black-tailed Gnatcatcher
CAGN,California Gnatcatcher
BCGN,Black-capped Gnatcatcher
ROWR,Rock Wren
CANW,Canyon Wren
SIWR,Sinaloa Wren
CACW,Cactus Wren
BEWR,Bewick's Wren
CARW,Carolina Wren
HOWR,House Wren
PAWR,Pacific Wren
WIWR,Winter Wren
SEWR,Sedge Wren
MAWR,Marsh Wren
BLMO,Blue Mockingbird
GRCA,Gray Catbird
CBTH,Curve-billed Thrasher
BRTH,Brown Thrasher
LBTH,Long-billed Thrasher
BETH,Bendire's Thrasher
CATH,California Thrasher
LCTH,LeConte's Thrasher
CRTH,Crissal Thrasher
SATH,Sage Thrasher
BAMO,Bahama Mockingbird
NOMO,Northern Mockingbird
EUST,European Starling
COMY,Common Myna
AMDI,American Dipper
EABL,Eastern Bluebird
WEBL,Western Bluebird
MOBL,Mountain Bluebird
TOSO,Townsend's Solitaire
BBSO,Brown-backed Solitaire
KAMA,Kamao
AMAU,Amaui
OLOM,Olomao
OMAO,Omao
PUAI,Puaiohi
OBNT,Orange-billed Nightingale-Thrush
BHNT,Black-headed Nightingale-Thrush
VEER,Veery
GCTH,Gray-cheeked Thrush
BITH,Bicknell's Thrush
SWTH,Swainson's Thrush
HETH,Hermit Thrush
WOTH,Wood Thrush
MITH,Mistle Thrush
EUBB,Eurasian Blackbird
EYTH,Eyebrowed Thrush
DUTH,Dusky Thrush
NATH,Naumann's Thrush
FIEL,Fieldfare
REDW,Redwing
SOTH,Song Thrush
CCTH,Clay-colored Thrush
WTTH,White-throated Thrush
RBRO,Rufous-backed Robin
AMRO,American Robin
RLTH,Red-legged Thrush
VATH,Varied Thrush
AZTH,Aztec Thrush
GSFL,Gray-streaked Flycatcher
ABFL,Asian Brown Flycatcher
SPFL,Spotted Flycatcher
DSFL,Dark-sided Flycatcher
WRSH,White-rumped Shama
EURO,European Robin
SBRO,Siberian Blue Robin
RTRO,Rufous-tailed Robin
BLUE,Bluethroat
SIRU,Siberian Rubythroat
RFBL,Red-flanked Bluetail
NAFL,Narcissus Flycatcher
MUFL,Mugimaki Flycatcher
TAFL,Taiga Flycatcher
CRET,Common Redstart
RTRT,Rufous-tailed Rock-Thrush (Rock-thrush)
ASST,Amur (Asian) Stonechat
NOWH,Northern Wheatear
PIWH,Pied Wheatear
OLWA,Olive Warbler
AFSI,African Silverbill
JASP,Java Sparrow
SBMU,Scaly-breasted Munia
TRMU,Tricolored Munia
CHMU,Chestnut Munia
REAV,Red Avadavat
COMW,Common Waxbill
SIAC,Siberian Accentor
HOSP,House Sparrow
ETSP,Eurasian Tree Sparrow
EYWA,Eastern Yellow Wagtail
CIWA,Citrine Wagtail
GRAW,Gray Wagtail
WHWA,White Wagtail
TRPI,Tree Pipit
OBPI,Olive-backed Pipit
PEPI,Pechora Pipit
RTPI,Red-throated Pipit
AMPI,American Pipit
SPPI,Sprague's Pipit
CCHA,Common Chaffinch
BRAM,Brambling
EVGR,Evening Grosbeak
HAWF,Hawfinch
CORO,Common Rosefinch
PARO,Pallas's Rosefinch
POUL,Poo-uli
AKIK,Akikiki
OAAL,Oahu Alauahio
KAKA,Kakawahie
MAAL,Maui Alauahio
PALI,Palila
LAFI,Laysan Finch
NIFI,Nihoa Finch
KOGR,Kona Grosbeak
LEKF,Lesser Koa-Finch
GRKF,Greater Koa-Finch
UAIH,Ula-ai-hawane
AKOH,Akohekohe
LAYH,Laysan Honeycreeper
APAP,Apapane
IIWI,Iiwi
HAMA,Hawaii Mamo
BLMA,Black Mamo
OU,Ou
LANH,Lanai Hookbill
MAPA,Maui Parrotbill
KANU,Kauai Nukupuu
OANU,Oahu Nukupuu
MANU,Maui Nukupuu
AKIA,Akiapolaau
LEAK,Lesser Akialoa
KAAK,Kauai Akialoa
OAKI,Oahu Akialoa
MNAK,Maui-nui Akialoa
ANIA,Anianiau
HAAM,Hawaii Amakihi
OAAM,Oahu Amakihi
KAAM,Kauai Amakihi
GRAM,Greater Amakihi
HCRE,Hawaii Creeper
AKEK,Akekee
OAKE,Oahu Akepa
MAAK,Maui Akepa
HAAK,Hawaii Akepa
PIGR,Pine Grosbeak
EUBU,Eurasian Bullfinch
ASRF,Asian Rosy-Finch
GCRF,Gray-crowned Rosy-Finch
BLRF,Black Rosy-Finch
BCRF,Brown-capped Rosy-Finch
HOFI,House Finch
PUFI,Purple Finch
CAFI,Cassin's Finch
ORGR,Oriental Greenfinch
YFCA,Yellow-fronted Canary
CORE,Common Redpoll
HORE,Hoary Redpoll
RECR,Red Crossbill
CACR,Cassia Crossbill
WWCR,White-winged Crossbill
EGOL,European Goldfinch
EUSI,Eurasian Siskin
PISI,Pine Siskin
LEGO,Lesser Goldfinch
LAGO,Lawrence's Goldfinch
AGOL,American Goldfinch
ISCA,Island Canary
LALO,Lapland Longspur
CCLO,Chestnut-collared Longspur
SMLO,Smith's Longspur
TBLO,Thick-billed Longspur
SNBU,Snow Bunting
MKBU,McKay's Bunting
PIBU,Pine Bunting
YBWB,Yellow-browed Bunting
LIBU,Little Bunting
RUBU,Rustic Bunting
YTBU,Yellow-throated Bunting
YBSB,Yellow-breasted Bunting
GRBU,Gray Bunting
PALB,Pallas's Bunting
REBU,Reed Bunting
RWSP,Rufous-winged Sparrow
BOSP,Botteri's Sparrow
CASP,Cassin's Sparrow
BACS,Bachman's Sparrow
GRSP,Grasshopper Sparrow
OLSP,Olive Sparrow
FSSP,Five-striped Sparrow
BTSP,Black-throated Sparrow
LASP,Lark Sparrow
LARB,Lark Bunting
CHSP,Chipping Sparrow
CCSP,Clay-colored Sparrow
BCSP,Black-chinned Sparrow
FISP,Field Sparrow
BRSP,Brewer's Sparrow
WOSP,Worthen's Sparrow
FOSP,Fox Sparrow
ATSP,American Tree Sparrow
DEJU,Dark-eyed Junco
YEJU,Yellow-eyed Junco
WCSP,White-crowned Sparrow
GCSP,Golden-crowned Sparrow
HASP,Harris's Sparrow
WTSP,White-throated Sparrow
BESP,Bell's Sparrow
SABS,Sagebrush Sparrow
VESP,Vesper Sparrow
LCSP,LeConte's Sparrow
SESP,Seaside Sparrow
NESP,Nelson's Sparrow
SALS,Saltmarsh Sparrow
BAIS,Baird's Sparrow
HESP,Henslow's Sparrow
SAVS,Savannah Sparrow
SOSP,Song Sparrow
LISP,Lincoln's Sparrow
SWSP,Swamp Sparrow
CANT,Canyon Towhee
ABTO,Abert's Towhee
CALT,California Towhee
RCSP,Rufous-crowned Sparrow
GTTO,Green-tailed Towhee
SPTO,Spotted Towhee
EATO,Eastern Towhee
WESP,Western Spindalis
YBCH,Yellow-breasted Chat
YHBL,Yellow-headed Blackbird
BOBO,Bobolink
CHME,Chihuahuan Meadowlark
EAME,Eastern Meadowlark
WEME,Western Meadowlark
BVOR,Black-vented Oriole
OROR,Orchard Oriole
HOOR,Hooded Oriole
SBAO,Streak-backed Oriole
BUOR,Bullock's Oriole
SBOR,Spot-breasted Oriole
ALOR,Altamira Oriole
AUOR,Audubon's Oriole
BAOR,Baltimore Oriole
BBOR,Black-backed Oriole
SCOR,Scott's Oriole
RWBL,Red-winged Blackbird
TRBL,Tricolored Blackbird
TSBL,Tawny-shouldered Blackbird
SHCO,Shiny Cowbird
BROC,Bronzed Cowbird
BHCO,Brown-headed Cowbird
RUBL,Rusty Blackbird
BRBL,Brewer's Blackbird
COGR,Common Grackle
BTGR,Boat-tailed Grackle
GTGR,Great-tailed Grackle
OVEN,Ovenbird
WEWA,Worm-eating Warbler
LOWA,Louisiana Waterthrush
NOWA,Northern Waterthrush
BAWA,Bachman's Warbler
GWWA,Golden-winged Warbler
BWWA,Blue-winged Warbler
BAWW,Black-and-white Warbler
PROW,Prothonotary Warbler
SWWA,Swainson's Warbler
CCWA,Crescent-chested Warbler
TEWA,Tennessee Warbler
OCWA,Orange-crowned Warbler
COLW,Colima Warbler
LUWA,Lucy's Warbler
NAWA,Nashville Warbler
VIWA,Virginia's Warbler
CONW,Connecticut Warbler
GCYE,Gray-crowned Yellowthroat
MGWA,MacGillivray's Warbler
MOWA,Mourning Warbler
KEWA,Kentucky Warbler
COYE,Common Yellowthroat
HOWA,Hooded Warbler
AMRE,American Redstart
KIWA,Kirtland's Warbler
CMWA,Cape May Warbler
CERW,Cerulean Warbler
NOPA,Northern Parula
TRPA,Tropical Parula
MAWA,Magnolia Warbler
BBWA,Bay-breasted Warbler
BLBW,Blackburnian Warbler
YEWA,Yellow Warbler
CSWA,Chestnut-sided Warbler
BLPW,Blackpoll Warbler
BTBW,Black-throated Blue Warbler
PAWA,Palm Warbler
PIWA,Pine Warbler
YRWA,Yellow-rumped Warbler
YTWA,Yellow-throated Warbler
PRAW,Prairie Warbler
GRWA,Grace's Warbler
BTYW,Black-throated Gray Warbler
TOWA,Townsend's Warbler
HEWA,Hermit Warbler
GCWA,Golden-cheeked Warbler
BTNW,Black-throated Green Warbler
FTWA,Fan-tailed Warbler
RCWA,Rufous-capped Warbler
GCRW,Golden-crowned Warbler
CAWA,Canada Warbler
WIWA,Wilson's Warbler
RFWA,Red-faced Warbler
PARE,Painted Redstart
STRE,Slate-throated Redstart
HETA,Hepatic Tanager
SUTA,Summer Tanager
SCTA,Scarlet Tanager
WETA,Western Tanager
FCTA,Flame-colored Tanager
CCGR,Crimson-collared Grosbeak
NOCA,Northern Cardinal
PYRR,Pyrrhuloxia
YEGR,Yellow Grosbeak
RBGR,Rose-breasted Grosbeak
BHGR,Black-headed Grosbeak
BLBU,Blue Bunting
BLGR,Blue Grosbeak
LAZB,Lazuli Bunting
INBU,Indigo Bunting
VABU,Varied Bunting
PABU,Painted Bunting
DICK,Dickcissel
RCCA,Red-crested Cardinal
YBCA,Yellow-billed Cardinal
SAFI,Saffron Finch
RLHO,Red-legged Honeycreeper
BANA,Bananaquit
YFGR,Yellow-faced Grassquit
BFGR,Black-faced Grassquit
MOSE,Morelet's Seedeater
